Client Order ID,Instrument,Side,Quantity,Price
aa317,Rose,2,840,61
aa318,Tulip,1,150,6
aa319,Lotus,1,560,77
aa320,Tulip,1,80,16
aa321,Rose,2,390,40
aa322,Tulip,2,230,14
aa323,Lavender,1,30,67
aa324,Lotus,2,380,42
aa325,Orchid,1,360,88
aa326,Lavender,1,800,22
aa327,Rose,2,690,7
aa328,Rose,2,820,37
aa329,Lotus,1,900,54
aa330,Rose,1,430,6
aa331,Rose,2,660,22
aa332,Rose,2,80,35
aa333,Lotus,1,380,83
aa334,Lavender,2,420,67
aa335,Orchid,1,360,14
aa336,Lotus,2,980,11
aa337,Orchid,1,690,73
aa338,Lotus,2,910,71
aa339,Tulip,2,640,60
aa340,Rose,1,780,11
aa341,Rose,2,710,43
aa342,Lotus,2,600,15
aa343,Rose,2,510,26
aa344,Orchid,1,170,50
aa345,Tulip,1,530,57
aa346,Tulip,1,810,58
aa347,Lotus,1,730,94
aa348,Lotus,1,670,88
aa349,Tulip,1,620,18
aa350,Lotus,2,680,23
aa351,Rose,2,100,27
aa352,Lotus,1,590,60
aa353,Lotus,2,280,93
aa354,Orchid,2,790,79
aa355,Orchid,1,470,25
aa356,Lotus,1,70,28
aa357,Lotus,2,880,67
aa358,Lotus,1,360,63
aa359,Lotus,2,100,27
aa360,Tulip,1,190,19
aa361,Orchid,1,180,8
aa362,Lavender,1,200,41
aa363,Tulip,1,830,91
aa364,Tulip,2,350,25
aa365,Lotus,2,250,51
aa366,Orchid,1,810,40
aa367,Tulip,2,970,60
aa368,Orchid,2,750,27
aa369,Orchid,1,760,70
aa370,Lavender,2,790,82
aa371,Lavender,2,200,48
aa372,Rose,1,600,62
aa373,Tulip,1,240,62
aa374,Lavender,2,10,77
aa375,Lavender,1,860,36
aa376,Lotus,1,170,57
aa377,Lavender,1,830,74
aa378,Orchid,2,10,59
aa379,Lotus,1,600,37
aa380,Orchid,2,420,61
aa381,Lotus,2,480,29
aa382,Lotus,2,390,42
aa383,Lotus,1,990,20
aa384,Tulip,1,740,13
aa385,Tulip,1,230,84
aa386,Lotus,2,940,29
aa387,Tulip,1,620,100
aa388,Rose,2,410,12
aa389,Tulip,1,240,88
aa390,Tulip,2,100,90
aa391,Orchid,2,220,60
aa392,Lavender,1,790,66
aa393,Lotus,1,890,35
aa394,Rose,2,440,69
aa395,Tulip,1,680,45
aa396,Rose,1,470,15
aa397,Lavender,2,800,20
aa398,Lotus,2,220,46
aa399,Lavender,1,220,65
aa400,Lavender,2,270,19
aa401,Rose,2,490,35
aa402,Rose,1,110,93
aa403,Lotus,2,510,29
aa404,Orchid,1,500,35
aa405,Tulip,1,350,5
aa406,Lavender,2,610,95
aa407,Lotus,2,150,5
aa408,Tulip,1,10,57
aa409,Orchid,2,90,16
aa410,Orchid,2,520,35
aa411,Rose,1,580,100
aa412,Lavender,1,20,21
aa413,Tulip,1,130,74
aa414,Rose,1,530,42
aa415,Orchid,1,450,18
aa416,Rose,2,600,79
aa417,Orchid,2,710,54
aa418,Tulip,1,610,100
aa419,Tulip,2,600,82
aa420,Lavender,1,630,66
aa421,Orchid,1,800,89
aa422,Tulip,1,590,67
aa423,Lotus,1,250,55
aa424,Lotus,2,840,2
aa425,Lotus,1,280,15
aa426,Lotus,1,830,84
aa427,Orchid,2,170,78
aa428,Tulip,2,360,14
aa429,Tulip,1,970,11
aa430,Lavender,2,210,9
aa431,Orchid,1,150,46
aa432,Lavender,2,560,76
aa433,Lotus,2,600,78
aa434,Tulip,2,780,15
aa435,Lavender,2,670,77
aa436,Rose,1,400,26
aa437,Lavender,1,290,2
aa438,Rose,2,290,60
aa439,Lavender,1,840,93
aa440,Tulip,2,790,49
aa441,Lotus,2,990,20
aa442,Orchid,2,620,71
aa443,Orchid,1,240,70
aa444,Orchid,2,180,62
aa445,Rose,1,510,52
aa446,Lavender,2,680,88
aa447,Rose,2,830,82
aa448,Orchid,2,770,73
aa449,Rose,1,330,29
aa450,Orchid,2,640,76
aa451,Lotus,2,400,4
aa452,Lotus,1,540,17
aa453,Orchid,2,220,78
aa454,Tulip,2,570,78
aa455,Lotus,1,310,80
aa456,Rose,2,510,68
aa457,Orchid,1,140,45
aa458,Orchid,1,800,42
aa459,Rose,2,850,1
aa460,Lotus,1,930,7
aa461,Lotus,1,900,92
aa462,Lotus,2,420,31
aa463,Tulip,1,670,98
aa464,Orchid,1,60,89
aa465,Orchid,2,570,90
aa466,Lotus,1,750,75
aa467,Rose,2,440,13
aa468,Orchid,2,150,8
aa469,Rose,2,410,22
aa470,Rose,1,180,47
aa471,Rose,2,180,36
aa472,Tulip,2,530,23
aa473,Rose,1,820,71
aa474,Orchid,2,550,64
aa475,Orchid,2,540,65
aa476,Orchid,1,190,6
aa477,Rose,1,870,54
aa478,Tulip,1,810,99
aa479,Orchid,1,100,64
aa480,Orchid,2,620,59
aa481,Tulip,2,570,67
aa482,Lavender,2,880,56
aa483,Lavender,1,710,40
aa484,Tulip,2,210,41
aa485,Orchid,2,190,48
aa486,Lavender,1,360,16
aa487,Orchid,1,160,89
aa488,Orchid,1,490,19
aa489,Orchid,2,960,72
aa490,Lotus,2,670,70
aa491,Lavender,1,180,23
aa492,Tulip,2,760,31
aa493,Rose,1,740,14
aa494,Rose,1,270,28
aa495,Orchid,1,210,98
aa496,Lotus,2,590,49
aa497,Rose,2,60,65
aa498,Rose,2,860,23
aa499,Tulip,2,110,59
aa500,Orchid,2,280,85
aa501,Lavender,1,310,82
aa502,Rose,2,100,2
aa503,Rose,1,920,68
aa504,Rose,1,350,100
aa505,Rose,1,760,65
aa506,Lavender,2,500,65
aa507,Lavender,2,300,55
aa508,Orchid,2,150,59
aa509,Tulip,2,820,57
aa510,Lavender,1,490,10
aa511,Lotus,1,210,81
aa512,Lavender,1,110,12
aa513,Lotus,1,780,97
aa514,Tulip,1,730,65
aa515,Tulip,1,190,82
aa516,Lotus,2,150,81
aa517,Orchid,1,970,67
aa518,Tulip,1,980,24
aa519,Lavender,2,300,100
aa520,Rose,2,570,48
aa521,Tulip,1,230,41
aa522,Tulip,2,20,39
aa523,Rose,2,160,67
aa524,Orchid,2,830,3
aa525,Rose,2,20,96
aa526,Lotus,2,730,52
aa527,Rose,2,240,59
aa528,Lotus,1,750,56
aa529,Lotus,2,430,58
aa530,Tulip,2,670,11
aa531,Tulip,2,610,100
aa532,Lavender,1,700,62
aa533,Orchid,1,840,86
aa534,Tulip,1,40,47
aa535,Tulip,1,900,7
aa536,Rose,2,790,100
aa537,Lavender,1,240,66
aa538,Orchid,1,670,53
aa539,Rose,1,590,65
aa540,Rose,1,180,88
aa541,Lavender,2,680,80
aa542,Tulip,2,540,99
aa543,Lotus,1,940,98
aa544,Rose,2,400,58
aa545,Orchid,1,180,86
aa546,Rose,2,730,45
aa547,Lotus,2,800,87
aa548,Orchid,1,900,52
aa549,Tulip,1,370,26
aa550,Orchid,2,20,39
aa551,Lotus,1,360,64
aa552,Lotus,1,280,31
aa553,Rose,1,200,73
aa554,Tulip,2,450,5
aa555,Orchid,1,750,5
aa556,Tulip,1,310,80
aa557,Tulip,1,240,92
aa558,Lotus,2,540,23
aa559,Rose,2,390,17
aa560,Lotus,1,270,34
aa561,Rose,1,450,24
aa562,Lavender,2,660,8
aa563,Lavender,2,680,57
aa564,Lavender,2,550,44
aa565,Lotus,1,500,39
aa566,Lotus,1,760,74
aa567,Rose,1,10,28
aa568,Rose,2,140,58
aa569,Orchid,1,230,34
aa570,Lavender,1,810,60
aa571,Orchid,1,580,44
aa572,Lavender,2,970,3
aa573,Lotus,1,360,65
aa574,Tulip,2,940,91
aa575,Lavender,1,510,35
aa576,Orchid,1,970,16
aa577,Tulip,1,680,61
aa578,Tulip,1,950,80
aa579,Tulip,2,530,58
aa580,Tulip,1,940,89
aa581,Orchid,2,870,99
aa582,Tulip,2,210,41
aa583,Rose,2,370,76
aa584,Rose,2,600,33
aa585,Orchid,2,530,52
aa586,Orchid,2,330,89
aa587,Lotus,2,810,60
aa588,Tulip,1,150,36
aa589,Rose,1,220,36
aa590,Tulip,2,50,43
aa591,Orchid,2,710,91
aa592,Orchid,2,920,61
aa593,Rose,2,920,59
aa594,Orchid,1,740,30
aa595,Orchid,1,150,94
aa596,Rose,1,970,19
aa597,Lavender,2,330,46
aa598,Orchid,1,130,90
aa599,Lavender,2,360,17
aa600,Lotus,2,990,36
aa601,Rose,1,910,74
aa602,Rose,1,210,99
aa603,Orchid,1,120,57
aa604,Orchid,1,460,48
aa605,Rose,1,890,40
aa606,Rose,2,920,17
aa607,Rose,2,630,37
aa608,Tulip,2,430,96
aa609,Orchid,1,940,30
aa610,Rose,1,820,50
aa611,Tulip,1,10,70
aa612,Lotus,1,800,50
aa613,Lotus,2,120,7
aa614,Lotus,1,930,31
aa615,Orchid,1,720,92
aa616,Orchid,1,690,23
aa617,Lavender,1,300,69
aa618,Rose,1,320,100
aa619,Orchid,1,720,32
aa620,Lavender,1,190,61
aa621,Rose,2,380,17
aa622,Lavender,2,800,38
aa623,Lavender,1,160,29
aa624,Tulip,1,400,14
aa625,Lotus,1,80,87
aa626,Orchid,1,430,18
aa627,Tulip,1,360,70
aa628,Orchid,1,290,94
aa629,Lotus,2,960,41
aa630,Lotus,2,640,34
aa631,Orchid,2,730,58
aa632,Orchid,1,770,97
aa633,Lavender,1,60,52
aa634,Orchid,1,810,83
aa635,Orchid,1,300,30
aa636,Orchid,2,940,36
aa637,Rose,2,400,4
aa638,Rose,1,620,67
aa639,Tulip,1,270,97
aa640,Lavender,1,920,79
aa641,Lavender,2,230,22
aa642,Lavender,2,680,51
aa643,Tulip,2,130,53
aa644,Rose,1,570,30
aa645,Orchid,1,390,64
aa646,Orchid,2,140,73
aa647,Orchid,2,930,62
aa648,Orchid,2,610,93
aa649,Orchid,2,700,21
aa650,Lotus,1,680,80
aa651,Rose,2,670,86
aa652,Tulip,2,580,69
aa653,Lotus,1,240,57
aa654,Rose,2,360,80
aa655,Rose,1,150,32
aa656,Orchid,2,220,36
aa657,Lavender,1,170,85
aa658,Lavender,1,860,3
aa659,Lotus,2,960,9
aa660,Lavender,2,890,45
aa661,Lavender,2,170,44
aa662,Tulip,2,970,84
aa663,Lavender,1,550,86
aa664,Tulip,2,270,30
aa665,Lotus,2,50,85
aa666,Rose,2,350,12
aa667,Orchid,2,520,48
aa668,Orchid,2,100,67
aa669,Rose,2,110,13
aa670,Lavender,1,690,91
aa671,Rose,1,530,72
aa672,Lotus,2,770,75
aa673,Rose,2,850,62
aa674,Lavender,2,20,54
aa675,Lavender,1,250,57
aa676,Orchid,2,200,17
aa677,Lotus,1,210,65
aa678,Lotus,1,940,34
aa679,Tulip,1,880,25
aa680,Tulip,2,970,15
aa681,Orchid,2,100,20
aa682,Orchid,2,130,96
aa683,Orchid,2,930,36
aa684,Lavender,2,730,9
aa685,Lotus,1,990,25
aa686,Tulip,1,520,22
aa687,Tulip,2,960,17
aa688,Tulip,2,800,13
aa689,Orchid,1,900,28
aa690,Lavender,2,470,79
aa691,Lotus,1,670,69
aa692,Rose,1,260,95
aa693,Lotus,2,790,15
aa694,Rose,1,650,39
aa695,Rose,2,500,43
aa696,Tulip,2,340,23
aa697,Rose,2,460,61
aa698,Lavender,1,140,19
aa699,Lavender,2,340,52
aa700,Tulip,1,680,72
aa701,Tulip,2,720,52
aa702,Orchid,2,400,81
aa703,Tulip,1,400,37
aa704,Lotus,1,830,65
aa705,Lotus,2,650,74
aa706,Rose,1,450,68
aa707,Lotus,1,500,88
aa708,Tulip,1,360,30
aa709,Lotus,1,680,39
aa710,Orchid,2,450,80
aa711,Lotus,1,30,67
aa712,Lotus,2,340,23
aa713,Lotus,1,720,82
aa714,Lavender,2,70,78
aa715,Lotus,1,550,23
aa716,Orchid,1,550,55
aa717,Lavender,1,690,48
aa718,Orchid,2,130,52
aa719,Tulip,1,130,51
aa720,Rose,1,780,62
aa721,Lavender,1,940,63
aa722,Lotus,1,760,23
aa723,Orchid,1,190,38
aa724,Lotus,1,410,91
aa725,Rose,2,70,21
aa726,Lavender,2,480,50
aa727,Tulip,1,450,48
aa728,Lavender,2,920,79
aa729,Orchid,1,520,16
aa730,Lavender,2,800,63
aa731,Tulip,1,830,42
aa732,Tulip,2,290,27
aa733,Lotus,1,510,96
aa734,Lavender,1,420,11
aa735,Lotus,2,900,99
aa736,Lotus,2,720,37
aa737,Lavender,1,70,49
aa738,Rose,1,470,100
aa739,Lavender,2,550,60
aa740,Orchid,2,240,66
aa741,Lavender,1,10,35
aa742,Lotus,1,50,57
aa743,Orchid,1,110,29
aa744,Lavender,2,580,31
aa745,Lotus,1,160,27
aa746,Orchid,2,250,72
aa747,Tulip,1,450,22
aa748,Rose,2,730,43
aa749,Rose,1,160,85
aa750,Orchid,1,260,24
aa751,Orchid,2,120,89
aa752,Lavender,1,550,62
aa753,Rose,1,560,49
aa754,Lavender,2,70,68
aa755,Tulip,1,360,100
aa756,Tulip,1,630,84
aa757,Tulip,2,750,93
aa758,Rose,1,870,82
aa759,Tulip,2,990,26
aa760,Lavender,2,360,28
aa761,Orchid,2,30,4
aa762,Rose,1,470,17
aa763,Orchid,2,680,99
aa764,Lavender,1,930,83
aa765,Rose,2,870,94
aa766,Lotus,1,840,69
aa767,Lotus,2,590,3
aa768,Lavender,2,270,29
aa769,Lavender,1,410,6
aa770,Lavender,2,90,17
aa771,Lotus,2,770,78
aa772,Lotus,1,650,93
aa773,Tulip,2,960,64
aa774,Lotus,1,920,24
aa775,Rose,1,830,65
aa776,Lavender,1,530,22
aa777,Lotus,1,650,61
aa778,Tulip,2,120,80
aa779,Tulip,1,850,75
aa780,Lotus,2,960,21
aa781,Tulip,1,160,84
aa782,Lavender,1,210,47
aa783,Rose,2,950,67
aa784,Rose,1,100,10
aa785,Lavender,2,570,16
aa786,Orchid,2,430,3
aa787,Lavender,2,820,31
aa788,Tulip,2,920,63
aa789,Lavender,1,570,58
aa790,Tulip,2,920,39
aa791,Orchid,2,410,35
aa792,Lotus,2,650,27
aa793,Rose,1,50,37
aa794,Lotus,1,370,67
aa795,Orchid,1,160,89
aa796,Tulip,1,770,35
aa797,Lavender,2,490,13
aa798,Lavender,1,590,4
aa799,Lavender,1,710,59
aa800,Tulip,2,780,81
aa801,Orchid,2,250,39
aa802,Lotus,2,440,91
aa803,Rose,2,440,4
aa804,Lotus,1,440,5
aa805,Orchid,2,480,14
aa806,Orchid,2,30,51
aa807,Orchid,1,440,44
aa808,Tulip,1,540,10
aa809,Lavender,1,170,14
aa810,Lotus,1,40,8
aa811,Orchid,1,840,12
aa812,Orchid,1,470,74
aa813,Rose,1,880,84
aa814,Rose,1,480,87
aa815,Lotus,2,580,31
aa816,Lavender,1,290,10
aa817,Tulip,1,400,19
aa818,Lavender,1,720,15
aa819,Rose,1,390,46
aa820,Rose,1,250,13
aa821,Orchid,1,820,3
aa822,Tulip,2,840,16
aa823,Tulip,1,860,11
aa824,Tulip,1,150,85
aa825,Lotus,2,770,18
aa826,Lavender,1,690,57
aa827,Tulip,2,670,53
aa828,Orchid,1,920,12
aa829,Tulip,1,670,11
aa830,Orchid,2,760,49
aa831,Lavender,1,340,25
aa832,Rose,2,700,36
aa833,Lavender,2,810,70
aa834,Tulip,2,160,98
aa835,Lotus,1,130,78
aa836,Lotus,1,510,94
aa837,Orchid,1,450,25
aa838,Lavender,2,430,52
aa839,Rose,1,420,91
aa840,Lotus,1,90,91
aa841,Rose,2,410,81
aa842,Orchid,1,940,8
aa843,Lavender,1,880,67
aa844,Rose,1,950,35
aa845,Orchid,2,60,85
aa846,Rose,1,860,65
aa847,Rose,2,970,95
aa848,Tulip,1,550,9
aa849,Rose,2,480,43
aa850,Rose,1,820,99
aa851,Lavender,1,170,7
aa852,Orchid,1,10,12
aa853,Lotus,2,930,44
aa854,Lavender,2,280,64
aa855,Tulip,1,600,15
aa856,Tulip,2,840,80
aa857,Tulip,2,460,27
aa858,Rose,2,480,37
aa859,Rose,2,270,73
aa860,Tulip,2,340,50
aa861,Orchid,1,670,45
aa862,Orchid,1,640,23
aa863,Rose,2,640,93
aa864,Orchid,1,370,19
aa865,Orchid,1,270,55
aa866,Lavender,1,230,93
aa867,Rose,2,210,11
aa868,Rose,1,200,11
aa869,Lotus,1,740,15
aa870,Lotus,1,130,21
aa871,Orchid,1,810,31
aa872,Orchid,1,530,56
aa873,Lavender,1,640,26
aa874,Lotus,2,590,38
aa875,Lotus,2,680,79
aa876,Orchid,2,890,66
aa877,Orchid,2,820,65
aa878,Lavender,2,240,12
aa879,Lavender,1,520,78
aa880,Lotus,2,570,25
aa881,Lavender,1,870,33
aa882,Orchid,2,920,98
aa883,Rose,2,330,59
aa884,Tulip,1,530,64
aa885,Tulip,1,660,66
aa886,Lotus,1,250,55
aa887,Orchid,1,280,9
aa888,Tulip,1,390,1
aa889,Orchid,2,560,95
aa890,Tulip,2,650,15
aa891,Rose,1,630,12
aa892,Rose,2,900,84
aa893,Tulip,2,480,59
aa894,Rose,1,270,78
aa895,Tulip,1,210,69
aa896,Lotus,2,290,80
aa897,Orchid,1,470,78
aa898,Lavender,2,980,76
aa899,Lotus,1,410,28
aa900,Tulip,2,100,80
aa901,Orchid,2,870,96
aa902,Rose,2,510,5
aa903,Orchid,2,720,97
aa904,Rose,1,510,22
aa905,Lotus,1,880,4
aa906,Tulip,2,40,1
aa907,Rose,2,810,71
aa908,Tulip,2,30,92
aa909,Lotus,2,590,59
aa910,Tulip,2,320,37
aa911,Orchid,2,750,18
aa912,Lavender,2,830,87
aa913,Lotus,2,760,58
aa914,Lavender,1,960,30
aa915,Tulip,1,860,21
aa916,Lavender,2,260,85
aa917,Tulip,1,260,63
aa918,Tulip,2,690,62
aa919,Rose,1,340,78
aa920,Lotus,1,630,82
aa921,Lotus,1,640,89
aa922,Lotus,1,20,34
aa923,Lotus,2,40,93
aa924,Tulip,1,600,46
aa925,Lotus,1,460,53
aa926,Orchid,1,720,31
aa927,Rose,1,510,48
aa928,Rose,1,140,6
aa929,Lavender,1,750,84
aa930,Tulip,2,460,41
aa931,Tulip,1,910,12
aa932,Rose,1,580,11
aa933,Lavender,2,140,33
aa934,Rose,1,820,46
aa935,Rose,2,920,75
aa936,Rose,2,650,3
aa937,Orchid,1,530,48
aa938,Lavender,1,10,95
aa939,Lavender,2,290,19
aa940,Rose,1,950,13
aa941,Rose,1,590,82
aa942,Orchid,2,310,20
aa943,Rose,2,400,41
aa944,Rose,2,590,63
aa945,Tulip,1,580,92
aa946,Lavender,1,780,81
aa947,Rose,1,780,67
aa948,Lavender,2,710,59
aa949,Orchid,1,10,36
aa950,Lavender,2,210,19
aa951,Lotus,1,810,59
