Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Transaction Time,Reason
ord33,aa45,Rose,2,PFill,250,45,20230903-135056.732,,
ord13,aa25,Rose,1,Fill,250,45,20230903-135056.732,,
ord33,aa45,Rose,2,Fill,50,35,20230903-135056.732,,
ord19,aa31,Rose,1,Fill,50,35,20230903-135056.732,,
ord34,aa46,Rose,1,Reject,124,56,20230903-135056.731,Invalid quantity,
ord35,aa47,Rose,1,New,300,42,20230903-135056.732,,
ord36,aa48,Rose,1,Reject,12,22,20230903-135056.731,Invalid quantity,
ord37,aa49,Rose,1,Reject,123,78,20230903-135056.731,Invalid quantity,
ord38,aa50,Rose,1,Reject,455,56,20230903-135056.731,Invalid quantity,
ord39,aa51,Rose,2,Reject,223,32,20230903-135056.731,Invalid quantity,
ord40,aa52,Rose,2,Reject,445,45,20230903-135056.731,Invalid quantity,
ord41,aa53,Rose,1,Reject,223,67,20230903-135056.731,Invalid quantity,
ord42,aa54,Rose,2,Reject,334,100,20230903-135056.731,Invalid quantity,
ord43,aa55,Rose,2,Reject,445,56,20230903-135056.731,Invalid quantity,
ord44,aa56,Rose,1,Reject,666,44,20230903-135056.731,Invalid quantity,
ord45,aa57,Rose,2,Reject,223,24,20230903-135056.731,Invalid quantity,
ord46,aa58,Rose,1,Reject,455,35,20230903-135056.731,Invalid quantity,
ord47,aa59,Rose,2,Reject,66,65,20230903-135056.731,Invalid quantity,
ord48,aa60,Rose,2,Reject,77,75,20230903-135056.731,Invalid quantity,
ord49,aa61,Rose,2,Reject,333,85,20230903-135056.731,Invalid quantity,
ord50,aa62,Rose,2,Reject,555,85,20230903-135056.731,Invalid quantity,
ord51,aa63,Rose,1,Reject,664,85,20230903-135056.731,Invalid quantity,
ord52,aa64,Rose,2,Reject,333,85,20230903-135056.731,Invalid quantity,
ord53,aa65,Rose,2,Reject,33,85,20230903-135056.731,Invalid quantity,
ord54,aa66,Rose,2,Reject,45,85,20230903-135056.731,Invalid quantity,
ord55,aa67,Rose,2,Reject,66,55,20230903-135056.731,Invalid quantity,
ord56,aa68,Rose,2,Reject,67,65,20230903-135056.731,Invalid quantity,
ord57,aa69,Rose,1,Reject,65,1,20230903-135056.731,Invalid quantity,
ord58,aa70,Rose,2,Reject,33,55,20230903-135056.732,Invalid quantity,
ord59,aa71,Rose,1,Reject,44,45,20230903-135056.732,Invalid quantity,
ord60,aa72,Rose,2,Reject,55,45,20230903-135056.732,Invalid quantity,
ord61,aa73,Rose,1,Reject,56,65,20230903-135056.732,Invalid quantity,
ord62,aa74,Rose,2,Reject,33,45,20230903-135056.732,Invalid quantity,
ord63,aa75,Rose,2,Reject,55,55,20230903-135056.732,Invalid quantity,
ord64,aa76,Rose,2,Reject,67,45,20230903-135056.732,Invalid quantity,
ord65,aa77,Rose,1,Reject,33,22,20230903-135056.732,Invalid quantity,
ord66,aa78,Rose,2,Fill,90,42,20230903-135056.732,,
ord35,aa47,Rose,1,PFill,90,42,20230903-135056.732,,
ord67,aa79,Rose,2,Reject,54,45,20230903-135056.732,Invalid quantity,
ord68,aa80,Rose,2,Reject,56,53,20230903-135056.732,Invalid quantity,
ord69,aa81,Rose,1,Reject,44,32,20230903-135056.732,Invalid quantity,
ord70,aa82,Rose,2,Reject,334,1,20230903-135056.732,Invalid quantity,
ord71,aa83,Rose,1,Reject,56,24,20230903-135056.732,Invalid quantity,
ord72,aa84,Rose,2,Reject,34,45,20230903-135056.732,Invalid quantity,
ord73,aa85,Rose,2,Reject,23,35,20230903-135056.732,Invalid quantity,
ord74,aa86,Rose,2,Reject,45,53,20230903-135056.732,Invalid quantity,
ord75,aa87,Rose,2,Reject,56,46,20230903-135056.732,Invalid quantity,
ord76,aa88,Rose,1,Reject,54,45,20230903-135056.732,Invalid quantity,
ord77,aa89,Rose,1,Reject,56,65,20230903-135056.732,Invalid quantity,
ord78,aa90,Rose,1,Reject,56,64,20230903-135056.732,Invalid quantity,
ord79,aa91,Rose,1,Reject,56,34,20230903-135056.732,Invalid quantity,
ord80,aa92,Rose,1,Reject,53,45,20230903-135056.732,Invalid quantity,
ord81,aa93,Rose,1,Reject,55,33,20230903-135056.732,Invalid quantity,
ord82,aa94,Rose,1,Reject,66,23,20230903-135056.732,Invalid quantity,
ord83,aa95,Rose,2,Reject,784,35,20230903-135056.732,Invalid quantity,
ord84,aa96,Rose,1,Reject,4456,65,20230903-135056.732,Invalid quantity,
ord85,aa97,Rose,1,Reject,343,45,20230903-135056.732,Invalid quantity,
ord86,aa98,Rose,1,Reject,335,32,20230903-135056.732,Invalid quantity,
ord87,aa99,Rose,2,Reject,334,34,20230903-135056.732,Invalid quantity,
ord88,aa100,Rose,2,Reject,33,56,20230903-135056.733,Invalid quantity,
ord89,aa101,Rose,1,Reject,55,42,20230903-135056.733,Invalid quantity,
ord90,aa102,Rose,2,Reject,335,22,20230903-135056.733,Invalid quantity,
ord91,aa103,Rose,2,Reject,335,78,20230903-135056.733,Invalid quantity,
ord92,aa104,Rose,2,Reject,32,56,20230903-135056.733,Invalid quantity,
ord93,aa105,Rose,2,Reject,45,32,20230903-135056.733,Invalid quantity,
ord94,aa106,Rose,2,Reject,55,45,20230903-135056.733,Invalid quantity,
ord95,aa107,Rose,2,Reject,33,67,20230903-135056.733,Invalid quantity,
ord96,aa108,Rose,2,Reject,335,100,20230903-135056.733,Invalid quantity,
ord97,aa109,Rose,2,Reject,33,56,20230903-135056.733,Invalid quantity,
ord98,aa110,Rose,2,Reject,67,44,20230903-135056.733,Invalid quantity,
ord99,aa111,Rose,2,Reject,334,24,20230903-135056.733,Invalid quantity,
ord100,aa112,Rose,2,Reject,343,35,20230903-135056.733,Invalid quantity,
ord101,aa113,Rose,2,Reject,4445,65,20230903-135056.733,Invalid quantity,
ord102,aa114,Rose,1,Reject,45,75,20230903-135056.733,Invalid quantity,
ord103,aa115,Rose,2,Reject,43,85,20230903-135056.733,Invalid quantity,
ord104,aa116,Rose,1,Reject,23,85,20230903-135056.733,Invalid quantity,
ord105,aa117,Rose,1,Reject,23,85,20230903-135056.733,Invalid quantity,
ord106,aa118,Rose,1,Reject,23,85,20230903-135056.733,Invalid quantity,
ord107,aa119,Rose,1,PFill,50,64,20230903-135056.732,,
ord24,aa36,Rose,2,Fill,50,64,20230903-135056.732,,
ord107,aa119,Rose,1,Fill,50,65,20230903-135056.732,,
ord7,aa19,Rose,2,PFill,50,65,20230903-135056.732,,
ord108,aa120,Rose,1,Fill,100,65,20230903-135056.732,,
ord7,aa19,Rose,2,Fill,100,65,20230903-135056.732,,
ord109,aa121,Rose,1,New,100,55,20230903-135056.732,,
ord110,aa122,Rose,1,New,400,65,20230903-135056.733,,
ord111,aa123,Rose,2,Fill,100,65,20230903-135056.733,,
ord110,aa122,Rose,1,PFill,100,65,20230903-135056.733,,
ord112,aa124,Rose,2,Fill,100,65,20230903-135056.733,,
ord110,aa122,Rose,1,PFill,100,65,20230903-135056.733,,
ord113,aa125,Rose,2,Fill,100,65,20230903-135056.733,,
ord110,aa122,Rose,1,PFill,100,65,20230903-135056.733,,
ord114,aa126,Rose,2,PFill,100,65,20230903-135056.733,,
ord110,aa122,Rose,1,Fill,100,65,20230903-135056.733,,
ord114,aa126,Rose,2,Fill,100,55,20230903-135056.733,,
ord109,aa121,Rose,1,Fill,100,55,20230903-135056.733,,
ord115,aa127,Rose,2,New,400,65,20230903-135056.733,,
ord116,aa128,Rose,2,New,100,45,20230903-135056.733,,
ord117,aa129,Rose,2,New,250,55,20230903-135056.733,,
ord118,aa130,Rose,2,New,100,45,20230903-135056.733,,
ord119,aa131,Rose,2,PFill,210,42,20230903-135056.733,,
ord35,aa47,Rose,1,Fill,210,42,20230903-135056.733,,
ord119,aa131,Rose,2,Fill,90,34,20230903-135056.733,,
ord12,aa24,Rose,1,PFill,90,34,20230903-135056.733,,
ord120,aa132,Rose,1,New,300,34,20230903-135056.733,,
ord121,aa133,Rose,1,PFill,100,45,20230903-135056.733,,
ord116,aa128,Rose,2,Fill,100,45,20230903-135056.733,,
ord121,aa133,Rose,1,PFill,100,45,20230903-135056.733,,
ord118,aa130,Rose,2,Fill,100,45,20230903-135056.733,,
ord122,aa134,Rose,1,New,300,53,20230903-135056.733,,
ord123,aa135,Rose,2,Fill,50,53,20230903-135056.733,,
ord122,aa134,Rose,1,PFill,50,53,20230903-135056.733,,
ord124,aa136,Rose,2,Fill,50,53,20230903-135056.733,,
ord122,aa134,Rose,1,PFill,50,53,20230903-135056.733,,
ord125,aa137,Rose,1,New,50,24,20230903-135056.733,,
ord126,aa138,Rose,2,Fill,50,53,20230903-135056.733,,
ord122,aa134,Rose,1,PFill,50,53,20230903-135056.733,,
ord127,aa139,Rose,1,New,50,35,20230903-135056.733,,
ord128,aa140,Rose,1,New,50,53,20230903-135056.733,,
ord129,aa141,Rose,2,Fill,50,53,20230903-135056.733,,
ord122,aa134,Rose,1,PFill,50,53,20230903-135056.733,,
ord130,aa142,Rose,2,Fill,50,53,20230903-135056.733,,
ord122,aa134,Rose,1,PFill,50,53,20230903-135056.733,,
ord131,aa143,Rose,2,New,50,65,20230903-135056.734,,
ord132,aa144,Rose,1,Fill,50,55,20230903-135056.734,,
ord117,aa129,Rose,2,PFill,50,55,20230903-135056.734,,
ord133,aa145,Rose,1,New,50,34,20230903-135056.734,,
ord134,aa146,Rose,2,Fill,50,53,20230903-135056.734,,
ord122,aa134,Rose,1,Fill,50,53,20230903-135056.734,,
ord135,aa147,Rose,2,Fill,50,53,20230903-135056.734,,
ord128,aa140,Rose,1,Fill,50,53,20230903-135056.734,,
ord136,aa148,Rose,2,Reject,56,23,20230903-135056.733,Invalid quantity,
ord137,aa149,Rose,1,Reject,78,35,20230903-135056.733,Invalid quantity,
ord138,aa150,Rose,2,Reject,34,65,20230903-135056.733,Invalid quantity,
ord139,aa151,Rose,1,Reject,56,45,20230903-135056.733,Invalid quantity,
ord140,aa152,Rose,1,New,300,32,20230903-135056.734,,
ord141,aa153,Rose,2,Reject,124,34,20230903-135056.733,Invalid quantity,
ord142,aa154,Rose,1,PFill,200,55,20230903-135056.734,,
ord117,aa129,Rose,2,Fill,200,55,20230903-135056.734,,
ord143,aa155,Rose,1,Reject,12,42,20230903-135056.733,Invalid quantity,
ord144,aa156,Rose,1,Reject,123,22,20230903-135056.733,Invalid quantity,
ord145,aa157,Rose,1,Reject,455,78,20230903-135056.733,Invalid quantity,
ord146,aa158,Rose,1,Reject,223,56,20230903-135056.733,Invalid quantity,
ord147,aa159,Rose,1,Reject,445,32,20230903-135056.733,Invalid quantity,
ord148,aa160,Rose,2,Reject,223,45,20230903-135056.733,Invalid quantity,
ord149,aa161,Rose,2,Reject,334,67,20230903-135056.733,Invalid quantity,
ord150,aa162,Rose,2,Reject,445,100,20230903-135056.733,Invalid quantity,
ord151,aa163,Rose,2,Reject,666,56,20230903-135056.734,Invalid quantity,
ord152,aa164,Rose,2,Reject,223,44,20230903-135056.734,Invalid quantity,
ord153,aa165,Rose,2,Reject,455,24,20230903-135056.734,Invalid quantity,
ord154,aa166,Rose,2,Reject,66,35,20230903-135056.734,Invalid quantity,
ord155,aa167,Rose,1,Reject,77,65,20230903-135056.734,Invalid quantity,
ord156,aa168,Rose,1,Reject,333,75,20230903-135056.734,Invalid quantity,
ord157,aa169,Rose,1,Reject,555,85,20230903-135056.734,Invalid quantity,
ord158,aa170,Rose,1,Reject,664,85,20230903-135056.734,Invalid quantity,
ord159,aa171,Rose,1,Reject,333,85,20230903-135056.734,Invalid quantity,
ord160,aa172,Rose,2,Reject,33,85,20230903-135056.734,Invalid quantity,
ord161,aa173,Rose,2,Reject,45,85,20230903-135056.734,Invalid quantity,
ord162,aa174,Rose,2,Reject,66,85,20230903-135056.734,Invalid quantity,
ord163,aa175,Rose,1,Reject,67,55,20230903-135056.734,Invalid quantity,
ord164,aa176,Rose,1,Reject,65,65,20230903-135056.734,Invalid quantity,
ord165,aa177,Rose,2,Reject,33,1,20230903-135056.734,Invalid quantity,
ord166,aa178,Rose,2,Reject,44,55,20230903-135056.734,Invalid quantity,
ord167,aa179,Rose,1,Reject,55,45,20230903-135056.734,Invalid quantity,
ord168,aa180,Rose,2,Reject,56,45,20230903-135056.734,Invalid quantity,
ord169,aa181,Rose,1,Reject,33,65,20230903-135056.734,Invalid quantity,
ord170,aa182,Rose,1,Reject,55,45,20230903-135056.734,Invalid quantity,
ord171,aa183,Rose,2,Reject,67,55,20230903-135056.734,Invalid quantity,
ord172,aa184,Rose,2,Reject,33,45,20230903-135056.734,Invalid quantity,
ord173,aa185,Rose,1,New,90,22,20230903-135056.734,,
ord174,aa186,Rose,1,Reject,54,34,20230903-135056.734,Invalid quantity,
ord175,aa187,Rose,1,Reject,56,45,20230903-135056.734,Invalid quantity,
ord176,aa188,Rose,1,Reject,44,53,20230903-135056.734,Invalid quantity,
ord177,aa189,Rose,2,Reject,334,32,20230903-135056.734,Invalid quantity,
ord178,aa190,Rose,2,Reject,56,1,20230903-135056.734,Invalid quantity,
ord179,aa191,Rose,1,Reject,34,24,20230903-135056.734,Invalid quantity,
ord180,aa192,Rose,1,Reject,23,45,20230903-135056.734,Invalid quantity,
ord181,aa193,Rose,1,Reject,45,35,20230903-135056.734,Invalid quantity,
ord182,aa194,Rose,1,Reject,56,53,20230903-135056.734,Invalid quantity,
ord183,aa195,Rose,1,Reject,54,46,20230903-135056.734,Invalid quantity,
ord184,aa196,Rose,1,Reject,56,45,20230903-135056.734,Invalid quantity,
ord185,aa197,Rose,1,Reject,56,65,20230903-135056.734,Invalid quantity,
ord186,aa198,Rose,1,Reject,56,64,20230903-135056.734,Invalid quantity,
ord187,aa199,Rose,1,Reject,53,34,20230903-135056.734,Invalid quantity,
ord188,aa200,Rose,2,Reject,55,45,20230903-135056.734,Invalid quantity,
ord189,aa201,Rose,1,Reject,66,33,20230903-135056.735,Invalid quantity,
ord190,aa202,Rose,1,Reject,784,23,20230903-135056.735,Invalid quantity,
ord191,aa203,Rose,1,Reject,4456,35,20230903-135056.735,Invalid quantity,
ord192,aa204,Rose,1,Reject,343,65,20230903-135056.735,Invalid quantity,
ord193,aa205,Rose,1,Reject,335,45,20230903-135056.735,Invalid quantity,
ord194,aa206,Rose,1,Reject,334,32,20230903-135056.735,Invalid quantity,
ord195,aa207,Rose,1,Reject,33,34,20230903-135056.735,Invalid quantity,
ord196,aa208,Rose,1,Reject,55,56,20230903-135056.735,Invalid quantity,
ord197,aa209,Rose,1,Reject,335,42,20230903-135056.735,Invalid quantity,
ord198,aa210,Rose,1,Reject,335,22,20230903-135056.735,Invalid quantity,
ord199,aa211,Rose,2,Reject,32,78,20230903-135056.735,Invalid quantity,
ord200,aa212,Rose,2,Reject,45,56,20230903-135056.735,Invalid quantity,
ord201,aa213,Rose,2,Reject,55,32,20230903-135056.735,Invalid quantity,
ord202,aa214,Rose,2,Reject,33,45,20230903-135056.735,Invalid quantity,
ord203,aa215,Rose,2,Reject,335,67,20230903-135056.735,Invalid quantity,
ord204,aa216,Rose,1,Reject,33,100,20230903-135056.735,Invalid quantity,
ord205,aa217,Rose,1,Reject,67,56,20230903-135056.735,Invalid quantity,
ord206,aa218,Rose,1,Reject,334,44,20230903-135056.735,Invalid quantity,
ord207,aa219,Rose,2,Reject,343,24,20230903-135056.735,Invalid quantity,
ord208,aa220,Rose,1,Reject,4445,35,20230903-135056.735,Invalid quantity,
ord209,aa221,Rose,1,Reject,45,65,20230903-135056.735,Invalid quantity,
ord210,aa222,Rose,1,Reject,43,75,20230903-135056.735,Invalid quantity,
ord211,aa223,Rose,2,Reject,23,85,20230903-135056.735,Invalid quantity,
ord212,aa224,Rose,1,Reject,23,85,20230903-135056.735,Invalid quantity,
ord213,aa225,Rose,1,Reject,23,85,20230903-135056.735,Invalid quantity,
ord214,aa226,Rose,1,Fill,100,65,20230903-135056.734,,
ord115,aa127,Rose,2,PFill,100,65,20230903-135056.734,,
ord215,aa227,Rose,2,New,100,85,20230903-135056.734,,
ord216,aa228,Rose,1,Fill,100,65,20230903-135056.734,,
ord115,aa127,Rose,2,PFill,100,65,20230903-135056.734,,
ord217,aa229,Rose,1,New,400,55,20230903-135056.734,,
ord218,aa230,Rose,1,Fill,100,65,20230903-135056.734,,
ord115,aa127,Rose,2,PFill,100,65,20230903-135056.734,,
ord219,aa231,Rose,1,New,100,1,20230903-135056.734,,
ord220,aa232,Rose,1,New,100,55,20230903-135056.734,,
ord221,aa233,Rose,1,New,200,45,20230903-135056.734,,
ord222,aa234,Rose,1,New,400,45,20230903-135056.734,,
ord223,aa235,Rose,2,New,100,65,20230903-135056.734,,
ord224,aa236,Rose,2,PFill,100,56,20230903-135056.734,,
ord142,aa154,Rose,1,Fill,100,56,20230903-135056.734,,
ord224,aa236,Rose,2,Fill,150,55,20230903-135056.734,,
ord217,aa229,Rose,1,PFill,150,55,20230903-135056.734,,
ord225,aa237,Rose,2,Fill,100,55,20230903-135056.734,,
ord217,aa229,Rose,1,PFill,100,55,20230903-135056.734,,
ord226,aa238,Rose,2,PFill,150,55,20230903-135056.734,,
ord217,aa229,Rose,1,Fill,150,55,20230903-135056.734,,
ord226,aa238,Rose,2,PFill,100,55,20230903-135056.734,,
ord220,aa232,Rose,1,Fill,100,55,20230903-135056.734,,
ord226,aa238,Rose,2,Fill,50,45,20230903-135056.734,,
ord121,aa133,Rose,1,PFill,50,45,20230903-135056.735,,
ord227,aa239,Rose,1,New,300,22,20230903-135056.735,,
ord228,aa240,Rose,2,PFill,50,45,20230903-135056.735,,
ord121,aa133,Rose,1,Fill,50,45,20230903-135056.735,,
ord228,aa240,Rose,2,PFill,200,45,20230903-135056.735,,
ord221,aa233,Rose,1,Fill,200,45,20230903-135056.735,,
ord228,aa240,Rose,2,Fill,50,45,20230903-135056.735,,
ord222,aa234,Rose,1,PFill,50,45,20230903-135056.735,,
ord229,aa241,Rose,1,New,300,45,20230903-135056.735,,
ord230,aa242,Rose,2,New,50,53,20230903-135056.735,,
ord231,aa243,Rose,2,Fill,50,45,20230903-135056.735,,
ord222,aa234,Rose,1,PFill,50,45,20230903-135056.735,,
ord232,aa244,Rose,1,New,50,1,20230903-135056.735,,
ord233,aa245,Rose,2,Fill,50,45,20230903-135056.735,,
ord222,aa234,Rose,1,PFill,50,45,20230903-135056.735,,
ord234,aa246,Rose,1,New,50,45,20230903-135056.735,,
ord235,aa247,Rose,2,Fill,50,45,20230903-135056.735,,
ord222,aa234,Rose,1,PFill,50,45,20230903-135056.735,,
ord236,aa248,Rose,1,Fill,50,53,20230903-135056.735,,
ord230,aa242,Rose,2,Fill,50,53,20230903-135056.735,,
ord237,aa249,Rose,2,New,50,46,20230903-135056.735,,
ord238,aa250,Rose,1,New,50,45,20230903-135056.735,,
ord239,aa251,Rose,2,New,50,65,20230903-135056.735,,
ord240,aa252,Rose,2,New,50,64,20230903-135056.735,,
ord241,aa253,Rose,1,New,50,34,20230903-135056.735,,
ord242,aa254,Rose,2,Fill,50,45,20230903-135056.735,,
ord222,aa234,Rose,1,PFill,50,45,20230903-135056.735,,
ord243,aa255,Rose,2,Reject,56,33,20230903-135056.735,Invalid quantity,
ord244,aa256,Rose,2,Reject,78,23,20230903-135056.735,Invalid quantity,
ord245,aa257,Rose,1,Reject,34,35,20230903-135056.735,Invalid quantity,
ord246,aa258,Rose,2,Reject,56,65,20230903-135056.735,Invalid quantity,
ord247,aa259,Rose,1,New,300,45,20230903-135056.735,,
ord248,aa260,Rose,1,Reject,124,32,20230903-135056.735,Invalid quantity,
ord249,aa261,Rose,1,New,300,34,20230903-135056.735,,
ord250,aa262,Rose,1,Reject,12,56,20230903-135056.735,Invalid quantity,
ord251,aa263,Rose,1,Reject,123,42,20230903-135056.735,Invalid quantity,
ord252,aa264,Rose,1,Reject,455,22,20230903-135056.735,Invalid quantity,
ord253,aa265,Rose,2,Reject,223,78,20230903-135056.735,Invalid quantity,
ord254,aa266,Rose,2,Reject,445,56,20230903-135056.735,Invalid quantity,
ord255,aa267,Rose,2,Reject,223,32,20230903-135056.735,Invalid quantity,
ord256,aa268,Rose,2,Reject,334,45,20230903-135056.735,Invalid quantity,
ord257,aa269,Rose,2,Reject,445,67,20230903-135056.736,Invalid quantity,
ord258,aa270,Rose,2,Reject,666,100,20230903-135056.736,Invalid quantity,
ord259,aa271,Rose,2,Reject,223,56,20230903-135056.736,Invalid quantity,
ord260,aa272,Rose,2,Reject,455,44,20230903-135056.736,Invalid quantity,
ord261,aa273,Rose,2,Reject,66,24,20230903-135056.736,Invalid quantity,
ord262,aa274,Rose,1,Reject,77,35,20230903-135056.736,Invalid quantity,
ord263,aa275,Rose,2,Reject,333,65,20230903-135056.736,Invalid quantity,
ord264,aa276,Rose,2,Reject,555,75,20230903-135056.736,Invalid quantity,
ord265,aa277,Rose,1,Reject,664,85,20230903-135056.736,Invalid quantity,
ord266,aa278,Rose,2,Reject,333,85,20230903-135056.736,Invalid quantity,
ord267,aa279,Rose,2,Reject,33,85,20230903-135056.736,Invalid quantity,
ord268,aa280,Rose,2,Reject,45,85,20230903-135056.736,Invalid quantity,
ord269,aa281,Rose,2,Reject,66,85,20230903-135056.736,Invalid quantity,
ord270,aa282,Rose,1,Reject,67,85,20230903-135056.736,Invalid quantity,
ord271,aa283,Rose,2,Reject,65,55,20230903-135056.736,Invalid quantity,
ord272,aa284,Rose,2,Reject,33,65,20230903-135056.736,Invalid quantity,
ord273,aa285,Rose,1,Reject,44,1,20230903-135056.736,Invalid quantity,
ord274,aa286,Rose,2,Reject,55,55,20230903-135056.736,Invalid quantity,
ord275,aa287,Rose,2,Reject,56,45,20230903-135056.736,Invalid quantity,
ord276,aa288,Rose,1,Reject,33,45,20230903-135056.736,Invalid quantity,
ord277,aa289,Rose,2,Reject,55,65,20230903-135056.736,Invalid quantity,
ord278,aa290,Rose,2,Reject,67,45,20230903-135056.736,Invalid quantity,
ord279,aa291,Rose,2,Reject,33,55,20230903-135056.736,Invalid quantity,
ord280,aa292,Rose,1,New,90,45,20230903-135056.735,,
ord281,aa293,Rose,2,Reject,54,22,20230903-135056.736,Invalid quantity,
ord282,aa294,Rose,2,Reject,56,34,20230903-135056.736,Invalid quantity,
ord283,aa295,Rose,2,Reject,44,45,20230903-135056.736,Invalid quantity,
ord284,aa296,Rose,1,Reject,334,53,20230903-135056.736,Invalid quantity,
ord285,aa297,Rose,2,Reject,56,32,20230903-135056.736,Invalid quantity,
ord286,aa298,Rose,2,Reject,34,1,20230903-135056.736,Invalid quantity,
ord287,aa299,Rose,2,Reject,23,24,20230903-135056.736,Invalid quantity,
ord288,aa300,Rose,1,Reject,45,45,20230903-135056.736,Invalid quantity,
ord289,aa301,Rose,2,Reject,56,35,20230903-135056.736,Invalid quantity,
ord290,aa302,Rose,2,Reject,54,53,20230903-135056.736,Invalid quantity,
ord291,aa303,Rose,2,Reject,56,46,20230903-135056.736,Invalid quantity,
ord292,aa304,Rose,2,Reject,56,45,20230903-135056.736,Invalid quantity,
ord293,aa305,Rose,1,Reject,56,65,20230903-135056.736,Invalid quantity,
ord294,aa306,Rose,2,Reject,53,64,20230903-135056.736,Invalid quantity,
ord295,aa307,Rose,2,Reject,55,34,20230903-135056.736,Invalid quantity,
ord296,aa308,Rose,2,Reject,66,45,20230903-135056.736,Invalid quantity,
ord297,aa309,Rose,1,Reject,784,33,20230903-135056.736,Invalid quantity,
ord298,aa310,Rose,2,Reject,4456,23,20230903-135056.736,Invalid quantity,
ord299,aa311,Rose,2,Reject,343,35,20230903-135056.736,Invalid quantity,
ord300,aa312,Rose,2,Reject,335,65,20230903-135056.737,Invalid quantity,
ord301,aa313,Rose,1,Reject,334,45,20230903-135056.737,Invalid quantity,
ord302,aa314,Rose,2,Reject,33,32,20230903-135056.737,Invalid quantity,
ord303,aa315,Rose,2,Reject,55,34,20230903-135056.737,Invalid quantity,
ord304,aa316,Rose,2,Reject,335,56,20230903-135056.737,Invalid quantity,
ord305,aa317,Rose,2,Reject,335,42,20230903-135056.737,Invalid quantity,
ord306,aa318,Rose,2,Reject,32,22,20230903-135056.737,Invalid quantity,
ord307,aa319,Rose,2,Reject,45,78,20230903-135056.737,Invalid quantity,
ord308,aa320,Rose,1,Reject,55,56,20230903-135056.737,Invalid quantity,
ord309,aa321,Rose,2,Reject,33,32,20230903-135056.737,Invalid quantity,
ord310,aa322,Rose,2,Reject,335,45,20230903-135056.737,Invalid quantity,
